zacetek_A,zacetek_B,srecanje_id,srecanje_ime,stevilo_korakov
7484317c-269f-425f-8118-23eedab4e5f1,48507e1a-32df-4552-9448-3b345760b75f,c22879e5-8e90-4540-9a74-5f139208e492,Friškovec,44
38b3abed-0592-407b-96c3-85a026f2e192,f4cfd904-bd11-4247-95df-32c4555a930f,f33b721f-a8a3-4aad-96f2-077da09ebaa6,Razstavišče,36
fb7704f0-d31e-4561-83e4-621a8c62654b,609f0950-bb8c-4eaf-a931-8575b8aff1ac,eb165f50-9c43-4b09-9658-469a16d3dc83,Kodeljevo,122
47637057-8d6a-4cf9-bd56-3ac90748fcc4,38b3abed-0592-407b-96c3-85a026f2e192,a719a87c-4e93-4387-a6d1-2631a487f7e0,Ajdovščina,59
d98335a0-1291-4d4c-be62-16b11c356575,3edd6057-3847-4c42-b8ec-6e89ff95793a,a719a87c-4e93-4387-a6d1-2631a487f7e0,Ajdovščina,86
379bc761-04b5-4227-be76-3b870fe3e69f,0dc86a8f-0f41-44c7-978c-e06cb63cbbcf,cee2862b-9b70-4880-8fa3-16c6d2efae1b,AMZS,138
609f0950-bb8c-4eaf-a931-8575b8aff1ac,a7177a3d-8db2-43fb-8910-f95857f0ed97,N/A,N/A,660
c22879e5-8e90-4540-9a74-5f139208e492,c87db9be-1fba-4102-a743-0ee4317dd5af,7fad8003-fb10-489d-bf8d-6d433310ad90,Nove Jarše,102
12304b99-9a07-485a-a101-eaca90495d48,4ca7ae7e-380b-45e3-81de-00ffab5bb531,717dda7e-d793-4697-8f60-b64ee8b1edc4,Gosposvetska,50
81f21fc1-3bd2-4d2a-b563-2d063479c68e,db13a26e-19d4-4b8a-a78a-01ef25d58834,fef200e9-4d98-425b-ab14-8110e2aa85d7,Drama,40
3c6ebf90-c611-4535-b2b0-22fba3f7649a,98fa3880-5936-4ec8-ba04-39c7ff9a0e6a,ecc4ae87-ae08-4b94-995c-452fdd94df7f,Privoz,95
2f18bcfa-6189-4de4-b06f-132d3392e7d6,3fbf6322-fb74-4a50-a81a-bfca73abc26b,fef200e9-4d98-425b-ab14-8110e2aa85d7,Drama,83
3edd6057-3847-4c42-b8ec-6e89ff95793a,e786b2df-34ed-4246-832e-7c3d538ac1f4,e6f5183b-c615-4f47-b4fb-204ee070e825,Bežigrad,67
1eadcdb9-60cd-47c9-8eec-527c3465a685,7fad8003-fb10-489d-bf8d-6d433310ad90,cdabf1ea-b04c-480a-8359-72c46e6864ab,Bežigrad,241
86a75ffc-a78f-401f-8991-2eb0371417b2,21764d19-62cc-49fd-bac9-403aeac6a6b9,a2ce7e6f-0f99-443a-a973-81a0b9c60261,Astra,187
a2ce7e6f-0f99-443a-a973-81a0b9c60261,47a3bd8a-72ae-4e20-b43f-10bfaf49012c,9b0074d2-2c92-4c01-830b-00be8e05b412,Cukrarna,138
