zacetek_A,zacetek_B,srecanje_id,srecanje_ime,stevilo_korakov
295616c0-387b-4f60-a337-7743cd6be04e,8589e5d1-21b4-4210-ad7a-4bf91f9a715d,295616c0-387b-4f60-a337-7743cd6be04e,Bavarski dvor,212
6459bd02-d8f8-413e-9402-10b916f09a4f,e9d9f622-7394-4c5c-9031-a41855a64aa7,295616c0-387b-4f60-a337-7743cd6be04e,Bavarski dvor,461
9b0074d2-2c92-4c01-830b-00be8e05b412,7eb88e01-82e9-4af4-84d0-69c6ea9dc82c,a719a87c-4e93-4387-a6d1-2631a487f7e0,Ajdovščina,188
4e8ccfa1-b58c-4ee1-ad82-2e8a645071f3,fb7704f0-d31e-4561-83e4-621a8c62654b,7fa32ea0-e884-435a-a81c-51bbd5cedf3e,Zaloška,77
a719a87c-4e93-4387-a6d1-2631a487f7e0,2ec182e2-769f-427f-b9b5-c4118890cb96,295616c0-387b-4f60-a337-7743cd6be04e,Bavarski dvor,45
8589e5d1-21b4-4210-ad7a-4bf91f9a715d,e6f5183b-c615-4f47-b4fb-204ee070e825,a719a87c-4e93-4387-a6d1-2631a487f7e0,Ajdovščina,124
fb0042f8-d9e2-4916-b60a-38a026acf0c9,98b60d07-8054-441a-be44-be7aa24f4253,fef200e9-4d98-425b-ab14-8110e2aa85d7,Drama,209
1b0f629f-acdb-4e94-8c54-018f4334ebf7,8598b85d-3e1d-4767-b72f-0c209038841f,769b7bc7-4f95-4bb2-9c99-37ba8e8b4bd5,D. MOST P+R,48
6bd46cb7-9e5d-453a-878a-bcc38fb2a5f2,7bcbdcaa-00b9-47d4-8982-09da26cd7bcb,c87db9be-1fba-4102-a743-0ee4317dd5af,Bavarski dvor,20
6bd46cb7-9e5d-453a-878a-bcc38fb2a5f2,c87db9be-1fba-4102-a743-0ee4317dd5af,6a89c110-a0f8-4b1a-87f0-33f49c0a658e,Šola Jarše,82
093afa81-b65f-4182-bac3-afbc00558a9b,a7177a3d-8db2-43fb-8910-f95857f0ed97,N/A,N/A,660
4038e02e-f22f-4af0-ba4f-7aab855b53af,ef31a8be-b01d-44cd-95cf-3db8e918af26,a719a87c-4e93-4387-a6d1-2631a487f7e0,Ajdovščina,503
dfde6478-02b5-471b-a470-29cb0e84542f,a7177a3d-8db2-43fb-8910-f95857f0ed97,N/A,N/A,660
8c7fa045-888b-46d0-8189-6f82623bf481,fb7704f0-d31e-4561-83e4-621a8c62654b,592b37eb-8255-4758-ae8a-7cef98521013,Rogovilc,339
9a14b0ec-f13a-46f0-8c4f-07d8b99241e2,5cc8a08d-c0af-491f-9a9c-b8b4f5f23bc0,a719a87c-4e93-4387-a6d1-2631a487f7e0,Ajdovščina,195
6559d555-672b-4633-8a81-0ae68fb963eb,6459bd02-d8f8-413e-9402-10b916f09a4f,c87db9be-1fba-4102-a743-0ee4317dd5af,Bavarski dvor,141
aa42017d-812a-4175-bc9b-0fec03b18931,6459bd02-d8f8-413e-9402-10b916f09a4f,5d7f28a6-2a2a-4333-aa06-48edfb652f86,Pošta,252
1b0f629f-acdb-4e94-8c54-018f4334ebf7,3c6ebf90-c611-4535-b2b0-22fba3f7649a,81f21fc1-3bd2-4d2a-b563-2d063479c68e,Štepanja vas,30
