zacetek_A,zacetek_B,srecanje_id,srecanje_ime,stevilo_korakov
603011,402031,803011,Slovenija avto,2269
603011,402031,600012,Bavarski dvor,458
603011,402031,502013,Ambrožev trg,3816
603011,402031,802022,Kino Šiška,12
603011,402031,600011,Bavarski dvor,4260
603011,402031,101032,Bežigrad,284
603011,402031,303022,Kajuhova,751
603011,402031,602021,Drama,1719
603011,402031,100021,Razstavišče,288
603011,402031,N/A,N/A,4285
603011,402031,600011,Bavarski dvor,3343
603011,402031,N/A,N/A,4285
603011,402031,801012,Tivoli,1133
603011,402031,600012,Bavarski dvor,3940
603011,402031,203161,Nove Jarše,628
603011,402031,101031,Bežigrad,1625
603011,402031,700012,Gosposvetska,2669
603011,402031,303021,Zaloška,757
603011,402031,803011,Slovenija avto,2551
603011,402031,203161,Nove Jarše,579
603011,402031,304031,Rusjanov trg,367
603011,402031,402032,Klinični center,3647
603011,402031,803141,Koseze,730
603011,402031,600011,Bavarski dvor,490
603011,402031,100021,Razstavišče,525
603011,402031,600011,Bavarski dvor,2418
603011,402031,600012,Bavarski dvor,2394
603011,402031,802022,Kino Šiška,12
603011,402031,N/A,N/A,4285
603011,402031,102091,Kardeljeva ploščad,1148
603011,402031,101031,Bežigrad,1825
603011,402031,100021,Razstavišče,909
603011,402031,502024,Cukrarna,235
603011,402031,802022,Kino Šiška,1639
603011,402031,600022,Ajdovščina,1571
603011,402031,801011,Tivoli,1225
603011,402031,402032,Klinični center,223
603011,402031,602021,Drama,1877
603011,402031,600011,Bavarski dvor,2297
603011,402031,600011,Bavarski dvor,2444
603011,402031,600012,Bavarski dvor,299
603011,402031,203142,BTC-Emporium,1094
603011,402031,700012,Gosposvetska,119
603011,402031,600011,Bavarski dvor,1641
603011,402031,600022,Ajdovščina,2796
603011,402031,104161,ČRNUČE,187
603011,402031,303021,Zaloška,1217
603011,402031,N/A,N/A,4285
603011,402031,N/A,N/A,4285
603011,402031,601011,Pošta,490
603011,402031,602021,Drama,302
603011,402031,600012,Bavarski dvor,190
603011,402031,600012,Bavarski dvor,1599
603011,402031,602031,Hajdrihova,1159
603011,402031,600011,Bavarski dvor,3348
603011,402031,804082,Kosmačeva,152
603011,402031,601011,Pošta,206
603011,402031,100021,Razstavišče,794
603011,402031,202082,Flajšmanova,370
603011,402031,700012,Gosposvetska,2199
603011,402031,602011,Cankarjev dom,96
603011,402031,304072,Polje,49
603011,402031,600011,Bavarski dvor,1049
603011,402031,802022,Kino Šiška,12
603011,402031,101052,Astra,332
603011,402031,600012,Bavarski dvor,805
603011,402031,600011,Bavarski dvor,815
603011,402031,N/A,N/A,4285
603011,402031,600011,Bavarski dvor,115
603011,402031,803011,Slovenija avto,532
603011,402031,100021,Razstavišče,42
603011,402031,601011,Pošta,2234
603011,402031,N/A,N/A,4285
603011,402031,204011,Leskoškova,29
603011,402031,104051,Sava,1631
603011,402031,N/A,N/A,4285
603011,402031,600012,Bavarski dvor,2615
603011,402031,600012,Bavarski dvor,2346
603011,402031,600012,Bavarski dvor,2599
603011,402031,600011,Bavarski dvor,208
603011,402031,602021,Drama,100
603011,402031,101051,Astra,715
603011,402031,600012,Bavarski dvor,1673
603011,402031,N/A,N/A,4285
603011,402031,N/A,N/A,4285
603011,402031,600012,Bavarski dvor,841
603011,402031,803011,Slovenija avto,1927
603011,402031,600012,Bavarski dvor,845
603011,402031,601011,Pošta,1894
603011,402031,600011,Bavarski dvor,933
603011,402031,600011,Bavarski dvor,51
603011,402031,602031,Hajdrihova,2031
603011,402031,101032,Bežigrad,1721
603011,402031,102091,Kardeljeva ploščad,762
603011,402031,601011,Pošta,240
603011,402031,101051,Astra,2230
603011,402031,802022,Kino Šiška,861
603011,402031,100021,Razstavišče,1900
603011,402031,601011,Pošta,2889
603011,402031,100021,Razstavišče,527
603011,402031,600012,Bavarski dvor,1246
603011,402031,600011,Bavarski dvor,2248
603011,402031,100021,Razstavišče,686
603011,402031,802022,Kino Šiška,1648
603011,402031,N/A,N/A,4285
603011,402031,802011,Stara cerkev,478
603011,402031,103182,Štajerska,2001
603011,402031,600022,Ajdovščina,911
603011,402031,704011,D. MOST P+R,222
603011,402031,101052,Astra,644
603011,402031,303024,Zaloška,731
603011,402031,600012,Bavarski dvor,2249
603011,402031,304091,Cesta na Vevče,941
603011,402031,803011,Slovenija avto,134
603011,402031,600022,Ajdovščina,738
603011,402031,602021,Drama,1017
603011,402031,802011,Stara cerkev,1189
603011,402031,502013,Ambrožev trg,3767
603011,402031,202031,Savske stolpnice,1600
603011,402031,602111,Privoz,1802
603011,402031,601011,Pošta,423
603011,402031,600022,Ajdovščina,1521
603011,402031,700012,Gosposvetska,290
603011,402031,502013,Ambrožev trg,2216
603011,402031,N/A,N/A,4285
603011,402031,704011,D. MOST P+R,436
603011,402031,203062,Tovorni kolodvor,1611
603011,402031,600012,Bavarski dvor,178
603011,402031,304062,Studenec,1359
603011,402031,600012,Bavarski dvor,1669
603011,402031,600022,Ajdovščina,106
603011,402031,504033,Rudnik,3885
603011,402031,704011,D. MOST P+R,3496
603011,402031,101051,Astra,210
603011,402031,600012,Bavarski dvor,2842
603011,402031,600011,Bavarski dvor,2204
603011,402031,600012,Bavarski dvor,583
603011,402031,303021,Zaloška,1265
603011,402031,203041,Šola Jarše,657
603011,402031,101031,Bežigrad,84
603011,402031,100021,Razstavišče,1567
603011,402031,601011,Pošta,199
603011,402031,600012,Bavarski dvor,3141
603011,402031,600011,Bavarski dvor,299
603011,402031,602021,Drama,545
603011,402031,303024,Zaloška,1199
603011,402031,602101,Gornji trg,719
603011,402031,202082,Flajšmanova,1296
603011,402031,600011,Bavarski dvor,3187
603011,402031,402061,Gornje Poljane,268
603011,402031,602021,Drama,582
603011,402031,600011,Bavarski dvor,1738
603011,402031,402032,Klinični center,865
603011,402031,600012,Bavarski dvor,1089
603011,402031,100021,Razstavišče,1170
603011,402031,202031,Savske stolpnice,518
603011,402031,N/A,N/A,4285
603011,402031,600011,Bavarski dvor,1092
603011,402031,303021,Zaloška,2699
603011,402031,602111,Privoz,843
603011,402031,803011,Slovenija avto,296
603011,402031,600022,Ajdovščina,140
603011,402031,402032,Klinični center,503
603011,402031,600012,Bavarski dvor,3715
603011,402031,100021,Razstavišče,301
603011,402031,700012,Gosposvetska,329
603011,402031,600012,Bavarski dvor,1727
603011,402031,403022,Kodeljevo,306
603011,402031,N/A,N/A,4285
603011,402031,101031,Bežigrad,252
603011,402031,202031,Savske stolpnice,1194
603011,402031,600012,Bavarski dvor,515
603011,402031,N/A,N/A,4285
603011,402031,203192,Yulon,1164
603011,402031,601011,Pošta,1842
603011,402031,202082,Flajšmanova,3037
603011,402031,703102,Bonifacija,866
603011,402031,803011,Slovenija avto,790
603011,402031,600012,Bavarski dvor,2757
603011,402031,100021,Razstavišče,983
603011,402031,602111,Privoz,172
603011,402031,104032,Ježica,1578
603011,402031,N/A,N/A,4285
603011,402031,803011,Slovenija avto,1801
603011,402031,600011,Bavarski dvor,2306
603011,402031,602021,Drama,939
603011,402031,602021,Drama,1425
603011,402031,104111,Rogovilc,1622
603011,402031,600022,Ajdovščina,1897
603011,402031,304072,Polje,444
603011,402031,600011,Bavarski dvor,115
603011,402031,101051,Astra,105
603011,402031,202062,Žale,2067
603011,402031,304072,Polje,2626
603011,402031,303021,Zaloška,1662
603011,402031,600022,Ajdovščina,965
603011,402031,N/A,N/A,4285
603011,402031,801011,Tivoli,488
603011,402031,103111,7. septembra,2769
603011,402031,101052,Astra,471
603011,402031,N/A,N/A,4285
603011,402031,803011,Slovenija avto,2416
603011,402031,602021,Drama,1490
603011,402031,802011,Stara cerkev,548
603011,402031,802011,Stara cerkev,3040
603011,402031,600011,Bavarski dvor,3547
603011,402031,600012,Bavarski dvor,160
603011,402031,600011,Bavarski dvor,1499
603011,402031,N/A,N/A,4285
603011,402031,101052,Astra,2577
603011,402031,402032,Klinični center,3382
603011,402031,601011,Pošta,267
603011,402031,101031,Bežigrad,226
603011,402031,100021,Razstavišče,2240
603011,402031,601011,Pošta,272
603011,402031,N/A,N/A,4285
603011,402031,704181,Podvozna pot,2509
603011,402031,803211,Kovinarska,3230
603011,402031,600011,Bavarski dvor,2130
603011,402031,303032,Ob sotočju,1297
603011,402031,600012,Bavarski dvor,347
603011,402031,301011,Friškovec,1060
603011,402031,601011,Pošta,961
603011,402031,601011,Pošta,54
603011,402031,803011,Slovenija avto,1547
603011,402031,N/A,N/A,4285
603011,402031,600011,Bavarski dvor,740
603011,402031,100021,Razstavišče,899
603011,402031,600011,Bavarski dvor,515
603011,402031,600012,Bavarski dvor,275
603011,402031,804041,Šentvid,1984
603011,402031,803011,Slovenija avto,871
603011,402031,600022,Ajdovščina,2590
603011,402031,602111,Privoz,395
603011,402031,301011,Friškovec,534
603011,402031,304031,Rusjanov trg,1453
603011,402031,204011,Leskoškova,2919
603011,402031,N/A,N/A,4285
603011,402031,600012,Bavarski dvor,99
603011,402031,600011,Bavarski dvor,467
603011,402031,600022,Ajdovščina,2758
603011,402031,303021,Zaloška,1079
603011,402031,602021,Drama,1655
603011,402031,801011,Tivoli,61
603011,402031,600011,Bavarski dvor,65
603011,402031,600012,Bavarski dvor,65
603011,402031,700012,Gosposvetska,207
603011,402031,602021,Drama,485
603011,402031,600011,Bavarski dvor,96
603011,402031,402032,Klinični center,557
603011,402031,601011,Pošta,827
603011,402031,402032,Klinični center,527
603011,402031,600012,Bavarski dvor,1401
603011,402031,600022,Ajdovščina,656
603011,402031,600011,Bavarski dvor,271
603011,402031,602021,Drama,108
603011,402031,601011,Pošta,564
603011,402031,203042,Šola Jarše,2169
603011,402031,700012,Gosposvetska,1550
603011,402031,N/A,N/A,4285
603011,402031,601011,Pošta,2401
603011,402031,202082,Flajšmanova,513
603011,402031,N/A,N/A,4285
603011,402031,402032,Klinični center,1177
603011,402031,101052,Astra,1412
603011,402031,303024,Zaloška,1176
603011,402031,802022,Kino Šiška,475
603011,402031,602101,Gornji trg,2015
603011,402031,600011,Bavarski dvor,42
603011,402031,600022,Ajdovščina,206
603011,402031,602101,Gornji trg,1210
603011,402031,100021,Razstavišče,1191
603011,402031,100021,Razstavišče,1352
603011,402031,803011,Slovenija avto,640
603011,402031,202082,Flajšmanova,105
603011,402031,100021,Razstavišče,1278
603011,402031,600011,Bavarski dvor,989
603011,402031,204011,Leskoškova,1250
603011,402031,602021,Drama,1249
603011,402031,602021,Drama,3623
603011,402031,600011,Bavarski dvor,2628
603011,402031,100021,Razstavišče,866
603011,402031,304072,Polje,275
603011,402031,600012,Bavarski dvor,183
603011,402031,301011,Friškovec,183
603011,402031,600011,Bavarski dvor,284
603011,402031,602021,Drama,3293
603011,402031,802011,Stara cerkev,1010
603011,402031,602101,Gornji trg,640
603011,402031,N/A,N/A,4285
603011,402031,700012,Gosposvetska,1938
603011,402031,802011,Stara cerkev,848
603011,402031,600011,Bavarski dvor,340
603011,402031,602021,Drama,3784
603011,402031,203062,Tovorni kolodvor,329
603011,402031,602021,Drama,2699
603011,402031,601011,Pošta,297
603011,402031,600011,Bavarski dvor,3240
603011,402031,103192,Božičeva,528
603011,402031,602021,Drama,286
603011,402031,N/A,N/A,4285
603011,402031,101051,Astra,699
603011,402031,803141,Koseze,200
603011,402031,104051,Sava,1418
603011,402031,103032,AMZS,1124
603011,402031,600012,Bavarski dvor,1193
603011,402031,101052,Astra,3117
603011,402031,600022,Ajdovščina,2496
603011,402031,600012,Bavarski dvor,1266
603011,402031,601011,Pošta,2093
603011,402031,N/A,N/A,4285
603011,402031,N/A,N/A,4285
603011,402031,100021,Razstavišče,929
603011,402031,402032,Klinični center,57
603011,402031,600012,Bavarski dvor,509
603011,402031,602031,Hajdrihova,1371
603011,402031,100021,Razstavišče,519
603011,402031,600011,Bavarski dvor,454
603011,402031,600012,Bavarski dvor,1123
603011,402031,600012,Bavarski dvor,1795
603011,402031,700012,Gosposvetska,957
603011,402031,N/A,N/A,4285
603011,402031,600022,Ajdovščina,3349
603011,402031,101052,Astra,102
603011,402031,100021,Razstavišče,1210
603011,402031,600012,Bavarski dvor,1341
603011,402031,600011,Bavarski dvor,1843
603011,402031,602021,Drama,699
603011,402031,303021,Zaloška,492
603011,402031,600012,Bavarski dvor,3881
603011,402031,803081,Kneza Koclja,2651
603011,402031,700012,Gosposvetska,3884
603011,402031,600012,Bavarski dvor,517
603011,402031,802022,Kino Šiška,12
603011,402031,N/A,N/A,4285
603011,402031,100021,Razstavišče,1773
603011,402031,602021,Drama,501
603011,402031,600012,Bavarski dvor,197
603011,402031,101052,Astra,11
603011,402031,601011,Pošta,3644
603011,402031,N/A,N/A,4285
603011,402031,100021,Razstavišče,2309
603011,402031,600012,Bavarski dvor,193
603011,402031,203042,Šola Jarše,1036
603011,402031,101031,Bežigrad,1427
603011,402031,600022,Ajdovščina,122
603011,402031,601011,Pošta,1675
603011,402031,100021,Razstavišče,274
603011,402031,602021,Drama,120
603011,402031,600012,Bavarski dvor,951
603011,402031,600011,Bavarski dvor,2572
603011,402031,602011,Cankarjev dom,290
603011,402031,202082,Flajšmanova,1870
603011,402031,600011,Bavarski dvor,383
603011,402031,601011,Pošta,304
603011,402031,602021,Drama,311
603011,402031,602021,Drama,2801
603011,402031,600011,Bavarski dvor,626
603011,402031,602021,Drama,2287
603011,402031,100021,Razstavišče,679
603011,402031,N/A,N/A,4285
603011,402031,804251,Vižmarje,2581
603011,402031,600011,Bavarski dvor,2316
603011,402031,101031,Bežigrad,1821
603011,402031,600012,Bavarski dvor,1970
603011,402031,600012,Bavarski dvor,1647
603011,402031,N/A,N/A,4285
603011,402031,101051,Astra,278
603011,402031,602031,Hajdrihova,200
603011,402031,600012,Bavarski dvor,510
603011,402031,602021,Drama,2380
603011,402031,803011,Slovenija avto,415
603011,402031,600012,Bavarski dvor,48
603011,402031,100021,Razstavišče,763
603011,402031,502012,Poljanska,840
603011,402031,601011,Pošta,895
603011,402031,600012,Bavarski dvor,902
603011,402031,802011,Stara cerkev,3579
603011,402031,502013,Ambrožev trg,63
603011,402031,602021,Drama,390
603011,402031,600022,Ajdovščina,2658
603011,402031,802022,Kino Šiška,841
603011,402031,700012,Gosposvetska,68
603011,402031,100021,Razstavišče,3992
603011,402031,602021,Drama,1163
603011,402031,803016,Šišenska,218
603011,402031,N/A,N/A,4285
603011,402031,N/A,N/A,4285
603011,402031,203101,Kodrova,1137
603011,402031,203041,Šola Jarše,406
603011,402031,600011,Bavarski dvor,34
603011,402031,104031,Ježica,180
603011,402031,802011,Stara cerkev,151
603011,402031,700012,Gosposvetska,1419
603011,402031,803011,Slovenija avto,711
603011,402031,N/A,N/A,4285
603011,402031,103101,Stožice,1818
603011,402031,600011,Bavarski dvor,847
603011,402031,600011,Bavarski dvor,209
603011,402031,600022,Ajdovščina,163
603011,402031,602021,Drama,1386
603011,402031,303051,Pot na Fužine,3667
603011,402031,601011,Pošta,1040
603011,402031,600012,Bavarski dvor,1813
603011,402031,203062,Tovorni kolodvor,3375
603011,402031,600022,Ajdovščina,2723
603011,402031,600012,Bavarski dvor,726
603011,402031,600022,Ajdovščina,161
603011,402031,600011,Bavarski dvor,679
603011,402031,N/A,N/A,4285
603011,402031,700012,Gosposvetska,1920
603011,402031,600012,Bavarski dvor,9
603011,402031,600011,Bavarski dvor,3277
603011,402031,600012,Bavarski dvor,2092
603011,402031,203062,Tovorni kolodvor,25
603011,402031,602101,Gornji trg,4279
603011,402031,101051,Astra,803
603011,402031,100021,Razstavišče,1670
603011,402031,600012,Bavarski dvor,2027
603011,402031,801011,Tivoli,91
603011,402031,600022,Ajdovščina,108
603011,402031,602111,Privoz,1204
603011,402031,602021,Drama,258
603011,402031,100021,Razstavišče,284
603011,402031,502013,Ambrožev trg,73
603011,402031,N/A,N/A,4285
603011,402031,N/A,N/A,4285
603011,402031,600012,Bavarski dvor,440
603011,402031,600022,Ajdovščina,2589
603011,402031,600011,Bavarski dvor,489
603011,402031,600012,Bavarski dvor,1550
603011,402031,304031,Rusjanov trg,1573
603011,402031,600012,Bavarski dvor,79
603011,402031,100021,Razstavišče,191
603011,402031,402032,Klinični center,633
603011,402031,601011,Pošta,1767
603011,402031,104111,Rogovilc,331
603011,402031,403042,Štepanja vas,2965
603011,402031,N/A,N/A,4285
603011,402031,600032,Dalmatinova,113
603011,402031,600032,Dalmatinova,68
603011,402031,602031,Hajdrihova,1764
603011,402031,602111,Privoz,872
603011,402031,600022,Ajdovščina,1476
603011,402031,101031,Bežigrad,1512
603011,402031,602021,Drama,267
603011,402031,600011,Bavarski dvor,735
603011,402031,101032,Bežigrad,613
603011,402031,600011,Bavarski dvor,1540
603011,402031,700012,Gosposvetska,911
603011,402031,601011,Pošta,1237
603011,402031,100021,Razstavišče,470
603011,402031,602021,Drama,3483
603011,402031,802022,Kino Šiška,1725
603011,402031,600022,Ajdovščina,271
603011,402031,600022,Ajdovščina,1147
603011,402031,404201,Sostro - 2,1322
603011,402031,600022,Ajdovščina,2934
603011,402031,600022,Ajdovščina,371
