zacetek_A,zacetek_B,srecanje_id,srecanje_ime,stevilo_korakov
69bc9f1c-507f-463c-ba5a-04500b319967,5f2b93f1-7933-45ed-915c-4488ab8d81b7,a719a87c-4e93-4387-a6d1-2631a487f7e0,Ajdovščina,1185
fcccf4af-4f16-4edc-ba5a-585c434593fe,39650ca1-d08c-4645-ac1a-6aed84eb45c5,c87db9be-1fba-4102-a743-0ee4317dd5af,Bavarski dvor,1438
c627c9f2-af02-4d83-969a-566719bb09e3,099976aa-17cc-45d3-add4-267985ab1533,N/A,N/A,4525
a3aeed02-8e36-4cb0-bb08-25cc4afda164,18d010ca-0244-4928-82cb-47af0836a1bb,f4cfd904-bd11-4247-95df-32c4555a930f,Klinični center,1671
0be53afd-2427-49b2-b70c-2ee3d89e9762,7ad774b6-172a-401b-b186-358aa2d560a2,8c7fa045-888b-46d0-8189-6f82623bf481,Poljanska,1859
76ec8af8-07c2-4d44-b0d8-a439d381913f,6c56976b-4ae1-429f-bcab-0cfc37e3580d,e9d9f622-7394-4c5c-9031-a41855a64aa7,Polje,237
aa113271-655f-423f-ad7e-4cfaba2eb739,1ceecd12-b005-4828-ad39-8f2aeb1ca228,484b5c91-1220-43ba-af79-84e712fcc46b,Slovenija avto,871
91fb6c6e-49cf-49d3-97d4-6ae228f9bfa1,6edebb46-d04f-45c4-99a4-100f7f0b2660,c87db9be-1fba-4102-a743-0ee4317dd5af,Bavarski dvor,155
1dc99fbb-5496-4aab-a4b6-32e653ccc789,c5ec5e81-2ce4-452d-bd7a-595de4f8b34f,a719a87c-4e93-4387-a6d1-2631a487f7e0,Ajdovščina,1077
ca575a45-9c95-4348-9245-8c75f70130b3,eaad1ba5-14a4-494f-80ae-65294c29a962,N/A,N/A,4525
b2dd1684-0848-40f7-b10e-8f74bb005f2f,dba19980-8ca1-4847-b9b5-8cd419374ae2,N/A,N/A,4525
7310c006-62b8-4f94-bb9c-d5c26cb3faad,a999f83e-4e6a-4ef9-9a10-e4a2c8a4a182,295616c0-387b-4f60-a337-7743cd6be04e,Bavarski dvor,133
9741988b-6723-480b-a419-8db7490d667a,4ab506fa-0fcd-431b-ace7-19ffa5f0576a,295616c0-387b-4f60-a337-7743cd6be04e,Bavarski dvor,3430
ac3afe7d-a2b3-4d5d-9e6a-1d2412a3bc70,c5ec5e81-2ce4-452d-bd7a-595de4f8b34f,ecc4ae87-ae08-4b94-995c-452fdd94df7f,Privoz,324
3f37b298-896a-40be-b2f5-6fe8154756c4,e2d3c37e-a7df-458e-9e5a-ea33ccf4c11b,9a1c4c65-df77-481f-87ad-56143f02a864,Vižmarje,2554
bfcba499-ce46-41b0-8268-966d74eccb20,33613e0e-f41c-4cee-804a-3942bf698e3e,fef200e9-4d98-425b-ab14-8110e2aa85d7,Drama,666
d7748049-2f69-4c77-a19b-96774a521ac1,86303165-4af4-4fcd-b0f9-43ed865454f4,fef200e9-4d98-425b-ab14-8110e2aa85d7,Drama,731
ea9d5fa9-af5a-4d39-96fd-626415048511,01d1f388-d915-4e9f-bc3d-4432a73a216e,fef200e9-4d98-425b-ab14-8110e2aa85d7,Drama,504
298fea2e-c58b-4d99-9350-2420c718d2cc,a7094427-e180-4deb-acaf-5d4488326e9e,a719a87c-4e93-4387-a6d1-2631a487f7e0,Ajdovščina,396
67c3adc1-a92d-4528-91ee-77d8b52574c6,9e0942f3-2c18-4891-9b51-9d95cc43af7a,N/A,N/A,4525
d4c51b31-46fd-4da8-ba15-8068e666d483,a26d9a94-effb-45ab-a27f-74076e9e5bdd,b59656a4-b6e7-4b87-977c-078c59088a50,Hajdrihova,1924
49f28358-bfda-458e-a4b3-a45f602765c1,5b184752-5bd2-43e3-9243-dfc8969d9065,N/A,N/A,4525
79d89180-8b07-4127-b7b4-1ac03d1cee9f,7310c006-62b8-4f94-bb9c-d5c26cb3faad,N/A,N/A,4525
29589594-5959-4efb-8dda-7348e4e500a0,154f3596-bbbb-4038-9ad7-c4b8b5288a02,a719a87c-4e93-4387-a6d1-2631a487f7e0,Ajdovščina,487
2628b04b-eaf2-4c5a-b7ac-837237162783,96d4c75b-6452-4c70-a31e-c234262ba38b,295616c0-387b-4f60-a337-7743cd6be04e,Bavarski dvor,1494
4fddf4a7-ad4e-4630-a5ca-3267955db548,0b90d258-764d-4c06-aab0-7074dbd54182,f33b721f-a8a3-4aad-96f2-077da09ebaa6,Razstavišče,1896
2d42d8e2-26a8-4a74-809c-f436d05c8a54,ea9d5fa9-af5a-4d39-96fd-626415048511,295616c0-387b-4f60-a337-7743cd6be04e,Bavarski dvor,1630
a52cd7ac-c11e-4c8b-94a5-1a12b32595da,47637057-8d6a-4cf9-bd56-3ac90748fcc4,484b5c91-1220-43ba-af79-84e712fcc46b,Slovenija avto,3231
f66a1f18-4c18-4317-b929-fb616cc7cebc,41c8c7eb-62ef-45d8-b5b1-221dd3c0022c,6559d555-672b-4633-8a81-0ae68fb963eb,ZD POLJE,319
4ac86a6a-874d-41a7-92a5-64ed733b7734,39650ca1-d08c-4645-ac1a-6aed84eb45c5,N/A,N/A,4525
2ec182e2-769f-427f-b9b5-c4118890cb96,51dbf10f-cf3b-4575-a8cc-d1080c1f9dde,7fa32ea0-e884-435a-a81c-51bbd5cedf3e,Zaloška,1079
ecc4ae87-ae08-4b94-995c-452fdd94df7f,36d25599-0bed-48a0-bcb4-134be8a959fe,fef200e9-4d98-425b-ab14-8110e2aa85d7,Drama,3144
7c149b59-2bc6-45cb-95c8-69e18a0db627,c969f066-aab5-466d-b4db-48e651a4a12e,fef200e9-4d98-425b-ab14-8110e2aa85d7,Drama,867
294c40c4-18e4-4d92-a947-911a8623de89,26ec9924-5586-4fd5-8b20-63f2d0a38d44,dfde6478-02b5-471b-a470-29cb0e84542f,Slovenija avto,286
e8b0d4a2-f65e-4aed-97b8-77ab0d07955a,a2b5023d-5ce8-420f-ad2a-b61c7a1902a8,fef200e9-4d98-425b-ab14-8110e2aa85d7,Drama,511
e90a68ac-02be-418f-8937-b9f1906274f2,67c3adc1-a92d-4528-91ee-77d8b52574c6,N/A,N/A,4525
154f3596-bbbb-4038-9ad7-c4b8b5288a02,36c4949b-403b-4a76-87e3-d67f51d655ef,98fa3880-5936-4ec8-ba04-39c7ff9a0e6a,Stara cerkev,1110
8589e5d1-21b4-4210-ad7a-4bf91f9a715d,184817a9-ca88-4c82-a40b-5768991da3df,c87db9be-1fba-4102-a743-0ee4317dd5af,Bavarski dvor,378
8677848c-55dd-4af4-b275-3074a3ff4846,54c591c0-7bbb-4489-9229-57b18f95827a,7fa32ea0-e884-435a-a81c-51bbd5cedf3e,Zaloška,2487
08071ba1-570f-487b-9a36-01a046fb2788,79d89180-8b07-4127-b7b4-1ac03d1cee9f,295616c0-387b-4f60-a337-7743cd6be04e,Bavarski dvor,299
698551c1-7bb2-4f7e-9701-23b7667e8594,92928953-a289-4a44-a653-b7b6b4f5e1c2,484b5c91-1220-43ba-af79-84e712fcc46b,Slovenija avto,665
8a5febd6-d44a-4c98-a221-46044548663d,9cc88862-270a-409a-b450-e0003c7930af,a719a87c-4e93-4387-a6d1-2631a487f7e0,Ajdovščina,564
192b7b6a-b138-4569-a4f3-86bef6b20810,cf94d70f-d211-4625-9037-014514562aa9,7fad8003-fb10-489d-bf8d-6d433310ad90,Nove Jarše,846
80c65758-5f25-4003-8d55-10ff96fe8310,8648bfde-9b0f-4a64-aced-fe63aa923879,295616c0-387b-4f60-a337-7743cd6be04e,Bavarski dvor,215
f11e48f8-4133-4c36-a36f-73b4f33d9592,298fea2e-c58b-4d99-9350-2420c718d2cc,N/A,N/A,4525
9a480b5e-0283-4130-a5e2-9d5e996caa4f,eb669f04-cfb6-4ea4-90c9-26eb551ecb45,6a89c110-a0f8-4b1a-87f0-33f49c0a658e,Šola Jarše,1165
3f01eb40-651e-4fad-aff9-2ee27f259f64,78c69686-64ed-437c-83b5-0e28733ed70c,7eb88e01-82e9-4af4-84d0-69c6ea9dc82c,Kolodvor,536
144ab380-6586-43ce-b216-2e66362b6eca,c0a064eb-b507-43c2-a6d2-0e9c5881f031,a719a87c-4e93-4387-a6d1-2631a487f7e0,Ajdovščina,888
db046e79-c658-433c-8812-157fd965a9f6,397418bc-78a7-45c9-b5cf-374fe21cee11,c87db9be-1fba-4102-a743-0ee4317dd5af,Bavarski dvor,1613
