zacetek_A,zacetek_B,srecanje_id,srecanje_ime,stevilo_korakov
9845a6f7-ba79-4f3d-b6ae-969651ef6001,7f45fe9c-917a-4571-9a74-9e940cd84f3c,c87db9be-1fba-4102-a743-0ee4317dd5af,Bavarski dvor,672
4c277b3f-c427-404b-ace3-2cd51656318f,aa42017d-812a-4175-bc9b-0fec03b18931,c87db9be-1fba-4102-a743-0ee4317dd5af,Bavarski dvor,486
31e6db90-ba65-4c49-90c0-317fb92596b3,5bc3addd-b076-4c60-b850-39f90e674b75,b59656a4-b6e7-4b87-977c-078c59088a50,Hajdrihova,2401
59faa0f0-34b1-47cd-ba3a-3b6f0d684c00,a112e799-e1b6-4dd2-b652-bd521dda7638,ecc4ae87-ae08-4b94-995c-452fdd94df7f,Privoz,1410
a2947722-2e6f-48dd-9c31-ff36356676fa,b4ffcb65-e60f-478d-806b-e7ae83f1a39d,cdabf1ea-b04c-480a-8359-72c46e6864ab,Bežigrad,335
16578e36-c682-4083-bd29-4973445dc0fe,7962e05c-ad8c-43e4-9db4-4b90f0c94596,1ce1c3a8-e0f6-4f90-b1aa-1448759d8b3c,Astra,2012
3f0c15b3-99bd-4c12-8f7a-df06c9536526,108e7dc8-ca5d-4c91-9414-32a32a31b69a,N/A,N/A,5000
78c69686-64ed-437c-83b5-0e28733ed70c,cd5497dc-20a4-40b3-9adf-b380de5d9f16,a719a87c-4e93-4387-a6d1-2631a487f7e0,Ajdovščina,1600
c9b2488c-cca9-4b84-83cb-638ef545c851,2fafda56-e44d-4e08-8503-90e6bf75e19d,N/A,N/A,5000
b8533150-cf69-441a-8fc4-18f39cbef16b,5930b5fe-26e2-4b69-bd1e-cdea021a0ab4,aa42017d-812a-4175-bc9b-0fec03b18931,Ambrožev trg,1054
9b0074d2-2c92-4c01-830b-00be8e05b412,524d67dd-fbb0-4f6a-9199-f095123044ab,b59656a4-b6e7-4b87-977c-078c59088a50,Hajdrihova,1764
f2fc2702-e9da-4c36-b6fc-9f52199e4574,ef005e77-f3b8-4171-b681-1294d0e4732b,5d7f28a6-2a2a-4333-aa06-48edfb652f86,Pošta,3074
33613e0e-f41c-4cee-804a-3942bf698e3e,b4ffcb65-e60f-478d-806b-e7ae83f1a39d,a719a87c-4e93-4387-a6d1-2631a487f7e0,Ajdovščina,258
fb0042f8-d9e2-4916-b60a-38a026acf0c9,9a1c4c65-df77-481f-87ad-56143f02a864,5d7f28a6-2a2a-4333-aa06-48edfb652f86,Pošta,540
e97befb6-5dc6-4603-ad5e-3aa96b4b2221,d5d15a80-243b-49d7-a616-b3c3fb39e8af,295616c0-387b-4f60-a337-7743cd6be04e,Bavarski dvor,707
2896bfa8-0586-4ed1-8d93-c5c6e1ff3d72,3f01eb40-651e-4fad-aff9-2ee27f259f64,f33b721f-a8a3-4aad-96f2-077da09ebaa6,Razstavišče,2079
bea274aa-277a-403d-ab2f-a0342b28882e,277bc73c-e61d-4046-bcfd-31d6161c568e,cdabf1ea-b04c-480a-8359-72c46e6864ab,Bežigrad,1022
ff8f71b7-06fe-47fe-8238-9af5ee1b1dfd,f15ddf31-fc11-41ba-988d-376c83e38f58,5d7f28a6-2a2a-4333-aa06-48edfb652f86,Pošta,429
5cc8a08d-c0af-491f-9a9c-b8b4f5f23bc0,154f3596-bbbb-4038-9ad7-c4b8b5288a02,f4cfd904-bd11-4247-95df-32c4555a930f,Klinični center,582
de80f5fd-4572-4bb6-9e21-9860f5fa6b24,111b2cdc-67ca-47bc-a8eb-8a4c6a0674d9,1ce1c3a8-e0f6-4f90-b1aa-1448759d8b3c,Astra,615
