Source,Target,Type,Weight,EdgeType,routes,dist_m
202031,202021,Directed,129.6,BUS,"22, 7",0.0
202031,102021,Directed,229.79,BUS,"19B, 19I",0.0
202031,202032,Directed,262.8,WALK,,116.3
600021,600011,Directed,25.29,BUS,"11, 11B, 14, 18, 18L, 19B, 19I, 2, 27, 6, 6B, 9",0.0
600021,700012,Directed,85.94,BUS,"1, 1B, 3, 3B, N3, N3B",0.0
600021,600012,Directed,2945.45,BUS,N1,0.0
600021,601011,Directed,160.3,WALK,,197.2
600021,601012,Directed,258.39,WALK,,260.5
600021,600032,Directed,312.76,WALK,,173.3
600021,600022,Directed,30.63,WALK,,15.5
600021,700011,Directed,249.37,WALK,,146.6
600021,500011,Directed,362.47,WALK,,230.3
404092,415012,Directed,925.71,BUS,26,0.0
404092,404202,Directed,723.51,WALK,,157.1
404092,404093,Directed,935.42,WALK,,13.6
404092,404091,Directed,379.06,WALK,,9.3
404092,404201,Directed,288.69,WALK,,145.0
603142,604032,Directed,144.0,BUS,"1, 1B",0.0
603142,603141,Directed,159.42,WALK,,31.0
603142,603144,Directed,1347.23,WALK,,71.7
603142,603143,Directed,1332.9,WALK,,51.7
600011,300012,Directed,59.23,BUS,"2, 25, 27, 9, SŽ",0.0
600011,100022,Directed,27.5,BUS,"11, 13, 14, 19B, 19I, 20, 20Z, 6, 6B, 7, 8",0.0
600011,100012,Directed,1800.0,BUS,11B,0.0
600011,300015,Directed,272.27,BUS,"18, 18L",0.0
600011,300015,Directed,464.08,WALK,,268.5
600011,801012,Directed,2025.0,BUS,N5,0.0
600011,600012,Directed,110.78,WALK,,37.7
600011,700012,Directed,1134.85,WALK,,253.5
600011,600032,Directed,381.39,WALK,,269.4
600011,600022,Directed,226.36,WALK,,289.5
600011,700011,Directed,283.95,WALK,,195.0
600011,500011,Directed,346.98,WALK,,208.6
602112,502032,Directed,249.23,BUS,"11, 11B",0.0
602112,503012,Directed,213.16,BUS,"3, 3B, N3, N3B",0.0
602112,602122,Directed,229.79,BUS,"19B, 19I",0.0
602112,602122,Directed,412.86,WALK,,256.3
602112,503014,Directed,241.79,BUS,27,0.0
602112,602111,Directed,80.23,WALK,,30.9
625061,625041,Directed,469.57,BUS,19I,0.0
625061,625062,Directed,516.11,WALK,,65.2
202051,202061,Directed,225.0,BUS,2,0.0
202051,202062,Directed,369.37,WALK,,284.8
202051,202092,Directed,327.45,WALK,,247.5
202051,202082,Directed,242.92,WALK,,100.9
202051,203022,Directed,407.99,WALK,,256.2
202051,203021,Directed,383.23,WALK,,221.5
703182,703122,Directed,272.27,BUS,"18, 18L",0.0
703182,703181,Directed,340.99,WALK,,96.2
101021,100021,Directed,218.92,BUS,14,0.0
101021,101052,Directed,321.38,WALK,,188.8
101021,100022,Directed,321.49,WALK,,287.6
101021,101051,Directed,269.67,WALK,,158.3
101021,101022,Directed,374.65,WALK,,218.0
603141,603041,Directed,137.29,BUS,"1, 1B, N1",0.0
603141,603142,Directed,166.13,WALK,,31.0
603141,603144,Directed,1368.7,WALK,,101.8
603141,603143,Directed,1354.22,WALK,,81.5
702021,702011,Directed,218.92,BUS,14,0.0
702021,702022,Directed,257.48,WALK,,54.0
803053,803051,Directed,589.09,BUS,18L,0.0
803053,803051,Directed,271.02,WALK,,102.9
803053,803052,Directed,414.66,WALK,,115.3
803053,803061,Directed,472.13,WALK,,269.9
404141,404131,Directed,611.32,BUS,24,0.0
404141,404142,Directed,617.05,WALK,,8.0
804181,804231,Directed,259.2,BUS,7,0.0
804181,804231,Directed,438.81,WALK,,251.5
804181,804232,Directed,422.13,WALK,,228.1
103203,803211,Directed,506.25,BUS,18,0.0
103203,103201,Directed,211.46,WALK,,72.6
103203,103202,Directed,535.83,WALK,,41.4
103101,103071,Directed,61.95,BUS,"11, 18, 6, 8",0.0
103101,103102,Directed,303.44,WALK,,21.0
803021,803011,Directed,97.3,BUS,"1, 1B, 25, N1",0.0
803021,803022,Directed,133.67,WALK,,50.9
204131,104181,Directed,790.24,BUS,21D,0.0
204131,204132,Directed,834.53,WALK,,62.0
102031,101031,Directed,151.4,BUS,"13, 20, 20Z",0.0
102031,102032,Directed,181.0,WALK,,41.4
102031,102022,Directed,386.83,WALK,,219.9
102031,102021,Directed,371.94,WALK,,199.0
104131,104121,Directed,1408.7,BUS,28,0.0
104131,104132,Directed,1451.2,WALK,,59.5
803082,803132,Directed,120.9,BUS,"22, 5, N5",0.0
803082,803221,Directed,272.27,BUS,"18, 18L",0.0
803082,803081,Directed,215.36,WALK,,26.3
803082,803091,Directed,371.42,WALK,,157.1
803082,803092,Directed,389.74,WALK,,182.8
303051,303021,Directed,91.53,BUS,"11, 11B, 20, 20Z, 25",0.0
303051,303022,Directed,259.2,BUS,22,0.0
303051,303052,Directed,337.82,WALK,,124.0
602052,602042,Directed,59.23,BUS,"1, 1B, 6, 6B",0.0
