Id,Label,lat,lon
202031,Savske stolpnice,46.065769,14.52166
600021,Ajdovščina,46.053623,14.504162
404092,Sostro,46.031799,14.604475
603142,Tbilisijska,46.033871,14.477944
600011,Bavarski dvor,46.05621,14.505406
602112,Privoz,46.044075,14.510882
625061,Iška vas šola,45.944454,14.509523
202051,ZELENA JAMA,46.063641,14.529055
703182,Večna pot,46.050888,14.478593
101021,Parmova,46.06374,14.507465
603141,Tbilisijska,46.033859,14.478345
702021,Študentsko naselje,46.049469,14.488174
803053,LITOSTROJSKA,46.077721,14.488358
404141,Pod Urhom,46.038216,14.589108
804181,PRŽAN,46.088341,14.458852
103203,Litostroj,46.082378,14.496448
103101,Stožice,46.08596,14.513835
803021,Aleja,46.076855,14.482358
204131,Nadgorica,46.097275,14.558282
102031,Gasilska brigada,46.068508,14.516695
104131,Pot v Smrečje,46.109253,14.527655
803082,Kneza Koclja,46.071491,14.480672
303051,Pot na Fužine,46.05624,14.549652
602052,Aškerčeva,46.046673,14.499275
703092,Vič,46.042297,14.477842
403061,Rast,46.046982,14.551457
404181,Dobrunjska c.,46.038628,14.578162
603162,Galjevica,46.033104,14.513184
804092,Na klancu,46.103741,14.462691
614091,Snoj,45.990902,14.456639
602111,Privoz,46.044083,14.511282
104161,ČRNUČE,46.104263,14.536042
802022,Kino Šiška,46.06921,14.490312
803122,Plešičeva,46.082462,14.469025
404102,Krožna pot,46.041298,14.555717
103111,7. septembra,46.089993,14.508611
203142,BTC-Emporium,46.061771,14.544939
804112,Ob daljnovodu,46.112507,14.461884
304101,VEVČE,46.049545,14.593143
602101,Gornji trg,46.045937,14.506128
603012,Jadranska,46.042068,14.489383
203091,Jarše,46.068439,14.536695
104221,GAMELJNE,46.126865,14.497444
600012,Bavarski dvor,46.056549,14.505423
803042,Dravlje,46.083649,14.477962
603082,Veliki štradon,46.037907,14.505477
415031,Veliki Lipoglav,46.00536,14.65318
803152,Draveljska gmajna,46.073975,14.46131
203102,Kodrova,46.069187,14.541571
403042,Štepanja vas,46.047943,14.539081
202011,Viadukt,46.05941,14.520622
603112,Lahova pot,46.024323,14.51104
603064,Murgle,46.037868,14.500715
602051,Aškerčeva,46.046638,14.498688
202022,Prekmurska,46.064697,14.517199
403051,Emona,46.047771,14.544743
204252,Trbeže,46.076588,14.57598
804032,Podgora,46.093685,14.468711
203112,Kristalna palača,46.066818,14.541902
103161,Maroltova,46.079857,14.519704
404161,OŠ Sostro,46.035236,14.599229
403021,Kodeljevo,46.052147,14.539114
604031,MESTNI LOG,46.030067,14.472399
803014,Remiza,46.074207,14.485511
803112,Čebelarska,46.079277,14.471299
504033,Rudnik,46.018452,14.543306
602031,Hajdrihova,46.045719,14.49046
103201,LITOSTROJ,46.082615,14.497325
803016,Šišenska,46.073738,14.485094
402021,Poliklinika,46.05365,14.519174
602021,Drama,46.049614,14.502458
601011,Pošta,46.051941,14.50335
203081,TOMAČEVO,46.079483,14.536586
203171,NOVE JARŠE,46.069397,14.550605
704061,Na Gmajnici,46.029198,14.439074
803221,Draga,46.068005,14.476573
626011,IŠKA VAS obrač.,45.936985,14.514611
503014,Orlova,46.038559,14.516653
504022,Spodnji Rudnik,46.022934,14.540344
703222,Cesta na Vrhovce,46.041714,14.459835
402012,Hrvatski trg,46.052223,14.518057
201011,ŽELEZNA,46.061039,14.513296
202062,Žale,46.065865,14.527225
601012,Konzorcij,46.051411,14.50305
503051,Mihov štradon,46.029583,14.52111
402022,Poliklinika,46.053356,14.519001
804202,Omersova,46.074108,14.452891
203101,Kodrova,46.069183,14.539748
104181,Ježa,46.100563,14.553404
603044,Koprska,46.035271,14.48346
104102,Kolodvor Črnuče,46.10117,14.524993
803121,Plešičeva,46.081665,14.46937
406012,Šemnikar,46.019398,14.718252
104032,Ježica,46.098118,14.516991
404021,Cesta v Bizovik,46.044617,14.57023
803051,Litostrojska,46.076813,14.488618
405042,Blaževo,46.032246,14.678593
603251,Log,46.027225,14.465927
104191,Šmartno,46.123852,14.478627
303043,ŠTEPANJSKO NAS.,46.053509,14.548228
605012,Ig AP,45.958927,14.527942
103051,Tovarna Lek,46.0793,14.501104
703122,Živalski vrt-ZOO,46.052799,14.471697
404083,Križišče Sostro,46.037548,14.60845
704142,Zgornji log,46.032745,14.462317
202061,Žale,46.066586,14.528299
304074,Polje,46.055119,14.58367
804252,Vižmarje,46.10054,14.459461
104351,Sp. Gameljne 3,46.123848,14.502708
805023,MEDVODE,46.141121,14.411158
104211,Rašica,46.127121,14.492896
614082,Kozler,45.995094,14.465093
404042,Pošta Dobrunje,46.041897,14.586592
304131,Silos,46.057819,14.606205
503011,Strelišče,46.039444,14.516998
304051,FUŽINE P+R,46.052132,14.56595
303071,Brodarjev trg,46.054401,14.553214
804251,Vižmarje,46.100262,14.459461
104182,Ježa,46.100128,14.553823
104372,Stara Ježica,46.093525,14.51538
103173,C. STOŽICE P+R,46.080441,14.52436
703081,Vič Glince,46.043812,14.483852
303024,Zaloška,46.055855,14.54243
604042,Havptmance,45.999866,14.516749
603102,Ilovica,46.027802,14.511615
702032,Svetčeva,46.052963,14.487136
304142,ZD POLJE,46.053219,14.590179
303022,Kajuhova,46.05648,14.540824
405082,Hlebš,46.044754,14.645051
803022,Avtomontaža,46.077312,14.4824
204071,Sneberje,46.077892,14.569179
603022,Gerbičeva,46.040665,14.48985
504031,RUDNIK,46.017994,14.544024
203151,Žito,46.069901,14.545039
301012,Friškovec,46.057533,14.516734
304031,Rusjanov trg,46.054707,14.564023
504121,Bobrova,46.024082,14.532359
745111,Podpeč 1,45.976238,14.423148
804031,Podgora,46.092598,14.469315
104082,Obrtna cona,46.097305,14.54327
804101,Tabor,46.108498,14.461687
502013,Ambrožev trg,46.049774,14.516916
404112,Hruševska,46.038799,14.569472
603032,Krimska,46.036613,14.488987
203092,Jarše,46.068726,14.538576
803081,Kneza Koclja,46.071255,14.480691
804132,Martinova,46.114597,14.464491
801012,Tivoli,46.060333,14.497625
602062,Križanke,46.046017,14.502186
515011,Škofljica špica,45.984352,14.574566
101052,Astra,46.065002,14.509102
745112,Podpeč 1,45.976265,14.423029
402062,Gornje Poljane,46.048725,14.524468
502022,Cukrarna,46.048725,14.520202
804121,BROD,46.115513,14.462748
100021,Razstavišče,46.060692,14.50711
804111,Ob daljnovodu,46.113113,14.461656
802042,Bolnica P. Držaja,46.067883,14.485481
802032,Na jami,46.06662,14.48971
404061,Zadvor,46.040257,14.597719
104321,JEŽICA P+R,46.098248,14.514144
804341,Oval,46.104149,14.449702
425011,Javor-2,46.012527,14.652871
503041,Peruzzijeva,46.02993,14.532611
405032,Besnica šola,46.035179,14.658356
515013,ŠKOFLJICA obrač.,45.979305,14.575409
103192,Božičeva,46.075573,14.520941
803052,Litostrojska,46.076759,14.488915
503031,Akademija,46.032204,14.52926
103081,N. STOŽICE P+R,46.081921,14.519762
100012,Navje,46.059723,14.509243
804021,Prušnikova,46.089832,14.471766
202092,Središka,46.062981,14.525992
201012,ŽELEZNA,46.061253,14.513248
702031,Svetčeva,46.052612,14.488079
602071,Mirje,46.044579,14.500682
104031,Ježica,46.09745,14.516942
404011,Hrušica,46.045521,14.559455
204401,Ihan Flerin,46.109303,14.621967
204171,BERIČEVO,46.090172,14.613146
406051,Smrekarjevo,46.028759,14.726521
803102,Tržnica Koseze,46.074387,14.475812
502031,Streliška,46.044617,14.516821
203061,Tovorni kolodvor,46.061638,14.538949
102042,Stadion,46.069427,14.510455
204101,Novo Polje,46.063267,14.583212
402032,Klinični center,46.052315,14.520921
804042,Šentvid,46.096806,14.46499
804091,Na klancu,46.104271,14.462786
803012,Slovenija avto,46.073914,14.486595
603152,Golouhova,46.031658,14.516356
203041,Šola Jarše,46.066689,14.532968
204142,Belinka,46.091244,14.575473
103122,Čerinova,46.09029,14.512338
700012,Gosposvetska,46.056129,14.502123
405071,Zg. Besnica,46.026161,14.701832
603091,Livada,46.034203,14.511116
804041,Šentvid,46.095272,14.466693
204201,Saturnus,46.067265,14.608861
304141,ZD Polje,46.052444,14.590629
404192,Pot heroja Trtnika,46.043903,14.59494
304071,Polje,46.054028,14.582697
104331,Sp. Gameljne 1,46.116585,14.506045
815112,Kajakaška,46.117931,14.456112
502024,Cukrarna,46.049263,14.519643
745021,Erbežnik,46.002209,14.413485
404142,Pod Urhom,46.03817,14.589188
602022,Drama,46.048771,14.501769
600032,Dalmatinova,46.053883,14.506376
415061,MALI LIPOGLAV,45.992233,14.64786
802012,Stara cerkev,46.064987,14.494161
804082,Kosmačeva,46.101002,14.461034
603181,BARJE P+R,46.026978,14.499829
801011,Tivoli,46.060444,14.497163
404022,Cesta v Bizovik,46.04435,14.570937
804502,Zakrajškova,46.082233,14.443847
604032,Mestni log,46.030689,14.471709
745101,OŠ Jezero,45.971729,14.429117
104342,Sp. Gameljne 2,46.120529,14.503875
304111,Petrol,46.056824,14.601487
804131,Martinova,46.113468,14.464373
415092,Pri Dolencu,46.017673,14.640804
203042,Šola Jarše,46.067261,14.534705
404072,Cesta v Zavoglje,46.040192,14.602766
744021,Japelj,46.011742,14.413038
744011,Šolska,46.017975,14.41521
304061,Studenec,46.054569,14.57584
104171,Zasavska,46.103947,14.545884
805032,Novo naselje,46.141754,14.410059
803091,Zgornja Šiška,46.07011,14.480242
703082,Vič Glince,46.043976,14.483762
104151,OŠ Maksa Pečarja,46.10548,14.534547
203152,Žito,46.069881,14.546728
404171,Pod Sivnikom,46.035954,14.624615
804211,Murkova,46.073624,14.450083
504012,Gornji Rudnik,46.028004,14.535614
603011,Jadranska,46.043617,14.488518
103132,Ruski car,46.09063,14.514007
504052,NS Rudnik,46.020245,14.534812
406032,Prežganje,46.020115,14.741287
204301,Ledena dvorana Zalog,46.062355,14.606994
804161,IMP,46.088715,14.477612
104192,Šmartno,46.12328,14.476823
202082,Flajšmanova,46.064548,14.52911
405061,Besnica kamnolom,46.02047,14.710193
